,Unnamed: 0,Date,Store Name,Address,City,Zip Code,Store Location,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Year,Total Bottles Sold
21087,88320,10/19/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",34422,Grey Goose Vodka,1000,$22.50,$33.75,30,$1012.50,30.0,2015,
21400,89757,07/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,82610,Dekuyper Hot Damn!,1000,$7.62,$11.43,12,$137.16,12.0,2015,
21408,89814,09/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Stoli Group,34786,Stolichnaya Blueberi,750,$11.99,$17.99,12,$215.88,9.0,2015,
22075,92583,04/06/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,15627,Jameson,1000,$18.49,$27.74,24,$665.76,24.0,2015,
22395,93984,07/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,28867,Tanqueray Gin,1000,$15.25,$22.88,12,$274.56,12.0,2015,
22861,95940,07/08/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,82607,Dekuyper Sour Apple,1000,$7.62,$11.43,12,$137.16,12.0,2015,
23053,96711,01/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Phillips Beverage Company,40632,UV Whipped,750,$6.50,$9.75,1,$9.75,0.75,2015,
23438,98299,01/26/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Brown-Forman Corporation,86672,Jack Daniel's Tennessee Honey,1000,$17.90,$26.85,12,$322.20,12.0,2015,
23644,99133,05/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Santa Fe Tequila Company,88582,Silvercoin,750,$20.21,$30.32,1,$30.32,0.75,2015,
23782,99761,11/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Louisville Distilling Co,16562,Angel's Envy Port Finished,750,$24.50,$36.75,2,$73.50,1.5,2015,
23905,100237,05/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",E AND J GALLO WINERY,77735,Viniq,750,$10.00,$15.00,1,$15.00,0.75,2015,
23913,100273,09/14/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Mississippi River Distilling Co.,37640,River Baron Artisian Spirit,750,$14.02,$21.03,6,$126.18,4.5,2015,
24080,100971,05/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,11347,Seagrams V.o. Bl Canadian Whisky,1000,$9.75,$14.63,12,$175.56,12.0,2015,
24119,101136,04/06/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sazerac North America,21597,Ten High,1000,$4.94,$7.41,12,$88.92,12.0,2015,
24283,101810,10/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,15627,Jameson,1000,$18.49,$27.74,36,$998.64,36.0,2015,
24508,102700,08/03/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,25607,Seagrams 7 Crown Bl Whiskey,1000,$8.00,$12.00,24,$288.00,24.0,2015,
