,Unnamed: 0,Date,Store Name,Address,City,Zip Code,Store Location,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Year,Total Bottles Sold
519347,2182524,06/10/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,82637,Dekuyper Grape Pucker,1000,$7.62,$11.43,12,$137.16,12.0,2015,
519467,2182977,06/10/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Mississippi River Distilling Co.,31990,River Rose Gin,750,$16.17,$24.26,6,$145.56,4.5,2015,
520278,2186526,09/16/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sidney Frank Importing Co.,65257,Jagermeister Liqueur,1000,$15.54,$23.31,48,$1118.88,48.0,2015,
520309,2186640,07/15/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",MHW Ltd,901916,Roger Clynes Mexican Moonshine Reposado,750,$30.00,$45.00,12,$540.00,9.0,2015,
520327,2186705,05/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","WILLIAM GRANT AND SONS, INC.",6997,Clan Macgregor Scotch,1000,$6.66,$9.99,2,$19.98,2.0,2015,
520367,2186897,07/15/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Phillips Beverage Company,37347,Phillips Vodka,1000,$4.29,$6.44,48,$309.12,48.0,2015,
520518,2187511,06/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Heaven Hill Brands,64645,Domaine de Canton,750,$18.55,$27.83,2,$55.66,1.5,2015,
520653,2188065,05/11/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Wilson Daniels Ltd.,27102,Templeton Rye,750,$18.09,$27.14,6,$162.84,4.5,2015,
520671,2188142,08/17/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",64336,B&b D.o.m.,750,$19.50,$29.25,2,$58.50,1.5,2015,
520695,2188239,05/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,46351,Hawkeye Light Rum,1000,$4.34,$6.51,12,$78.12,12.0,2015,
520714,2188351,11/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,27025,Bulleit 95 Rye,750,$16.75,$25.13,4,$100.52,3.0,2015,
520787,2188663,07/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Proximo,34886,Three Olives Berry Vodka,750,$9.96,$14.94,5,$74.70,3.75,2015,
521573,2191993,10/12/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Laird And Company,44603,Five O'clock,1000,$4.37,$6.56,12,$78.72,12.0,2015,
521778,2192847,01/14/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Stoli Group,34881,Stolichnaya Vanil Vodka 75 Proof,1000,$15.97,$23.96,12,$287.52,12.0,2015,
522279,2195002,04/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","W. J. Deutsch And Sons, Ltd.",65426,Licor 43,750,$14.10,$21.15,12,$253.80,9.0,2015,
522483,2195816,06/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,24157,Hawkeye Blend Whiskey,1000,$4.39,$6.59,12,$79.08,12.0,2015,
522586,2196166,02/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",MHW Ltd,34244,Chopin Vodka,750,$15.83,$23.75,6,$142.50,4.5,2015,
522880,2197458,03/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,44456,Cruzan Raspberry Rum,750,$6.83,$10.25,4,$41.00,3.0,2015,
522999,2198015,05/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Stoli Group,34881,Stolichnaya Vanil Vodka 75 Proof,1000,$15.97,$23.96,12,$287.52,12.0,2015,
523080,2198342,10/14/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Phillips Beverage Company,41694,Uv Blue (raspberry) Vodka,1000,$7.50,$11.25,12,$135.00,12.0,2015,
523206,2198862,06/03/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,89175,Don Julio Anejo Tequila,750,$32.49,$48.74,6,$292.44,4.5,2015,
523216,2198926,05/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,34117,Absolut Mandrin,1000,$12.49,$18.74,12,$224.88,12.0,2015,
523247,2199081,05/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Constellation Wine Company, Inc.",11777,Black Velvet,1000,$6.63,$9.95,12,$119.40,12.0,2015,
523531,2200253,09/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,34457,Ketel One Imported Vodka,1000,$17.50,$26.25,24,$630.00,24.0,2015,
523641,2200732,03/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,34029,Absolut Citron (lemon Vodka),1000,$14.99,$22.49,24,$539.76,24.0,2015,
523685,2200908,01/05/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,34029,Absolut Citron (lemon Vodka),1000,$14.99,$22.49,24,$539.76,24.0,2015,
523771,2201242,04/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Campari(skyy),28370,Bulldog Gin,750,$12.49,$18.74,1,$18.74,0.75,2015,
524254,2203323,05/20/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",64867,Fireball Cinnamon Whiskey,1000,$11.34,$17.01,120,$2041.20,120.0,2015,
524701,2205365,02/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Campari(skyy),87250,Cabo Wabo Blanco,750,$18.17,$27.26,3,$81.78,2.25,2015,
525709,2209529,08/17/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,43337,Captain Morgan Spiced Rum,1000,$11.75,$17.63,120,$2115.60,120.0,2015,
525827,2209994,10/19/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,42717,Malibu Coconut Rum,1000,$10.49,$15.74,24,$377.76,24.0,2015,
526592,2213154,09/28/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Phillips Beverage Company,41604,Uv Grape Vodka,750,$6.50,$9.75,12,$117.00,9.0,2015,
527179,2215701,11/23/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,37997,Smirnoff Vodka 80 Prf,1000,$9.25,$13.88,12,$166.56,12.0,2015,
527496,2217149,07/06/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,27544,Red Stag By Jim Beam,750,$11.03,$16.55,12,$198.60,9.0,2015,
527499,2217157,01/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,65066,Goldschlager Cinnamon Schnapps,750,$13.00,$19.50,24,$468.00,18.0,2015,
527854,2218693,02/23/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,77637,Smirnoff Cherry,750,$8.25,$12.38,3,$37.14,2.25,2015,
527887,2218867,08/31/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",43066,Bacardi Peach Red,750,$8.26,$12.39,1,$12.39,0.75,2015,
528217,2220257,10/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Mississippi River Distilling Co.,31990,River Rose Gin,750,$16.17,$24.26,6,$145.56,4.5,2015,
528317,2220638,02/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Campari(skyy),89139,Cabo Wabo Reposado,750,$20.76,$31.14,6,$186.84,4.5,2015,
528446,2221138,08/03/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,15627,Jameson,1000,$18.49,$27.74,36,$998.64,36.0,2015,
528684,2222088,11/11/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Mississippi River Distilling Co.,27479,Cody Road Bourbon,750,$19.17,$28.76,6,$172.56,4.5,2015,
528689,2222117,11/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",34436,Grey Goose Vodka L'orange,750,$18.49,$27.74,6,$166.44,4.5,2015,
528975,2223358,02/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",64867,Fireball Cinnamon Whiskey,1000,$11.34,$17.01,120,$2041.20,120.0,2015,
529210,2224346,03/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",MHW Ltd,73055,Rumchata,750,$12.50,$18.75,24,$450.00,18.0,2015,
529367,2225099,05/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,67267,Yukon Jack Canadian Liqueur,1000,$11.75,$17.63,12,$211.56,12.0,2015,
529778,2226808,10/26/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,69945,Rumple Minze Peppermint Schnapps Liqueur,375,$7.13,$10.70,6,$64.20,2.25,2015,
530245,2228755,09/14/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,65066,Goldschlager Cinnamon Schnapps,750,$13.00,$19.50,12,$234.00,9.0,2015,
530513,2229951,11/20/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",69667,Dr. Mcgillicuddy's Vanilla,1000,$11.00,$16.50,12,$198.00,12.0,2015,
530785,2231022,06/24/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,28867,Tanqueray Gin,1000,$15.25,$22.88,12,$274.56,12.0,2015,
530788,2231031,02/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Aveniu Brands,86746,Prichard's Sweet Lucy,750,$13.00,$19.50,1,$19.50,0.75,2015,
531101,2232441,06/17/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,65066,Goldschlager Cinnamon Schnapps,750,$13.00,$19.50,24,$468.00,18.0,2015,
531270,2233182,07/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,37417,Popov Vodka 80 Prf,1000,$5.50,$8.25,12,$99.00,12.0,2015,
531367,2233539,02/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",REMY COINTREAU USA         .,49086,Remy Martin 1738 Accord Royal,750,$26.99,$40.49,6,$242.94,4.5,2015,
531902,2235987,11/20/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,19477,Maker's Mark,1000,$22.04,$33.06,24,$793.44,24.0,2015,
531962,2236208,11/23/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,36307,Hawkeye Vodka,1000,$4.05,$6.08,60,$364.80,60.0,2015,
531986,2236279,01/12/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",43127,Bacardi Superior Rum,1000,$9.50,$14.25,36,$513.00,36.0,2015,
532167,2236960,04/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Gemini Spirits,66936,Grangala Triple Orange Liqueur,750,$11.02,$16.53,24,$396.72,18.0,2015,
532183,2237019,06/08/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,76487,Paramount Amaretto,1000,$4.05,$6.08,12,$72.96,12.0,2015,
532555,2238585,02/23/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,43296,Captain Morgan Silver Spiced Rum,750,$8.50,$12.75,1,$12.75,0.75,2015,
532584,2238723,11/18/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Gemini Spirits,80457,Ryan's Cream Liqueur,1000,$7.23,$10.85,12,$130.20,12.0,2015,
532948,2240231,05/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,5696,Oban Single Malt Scotch,750,$39.50,$59.25,1,$59.25,0.75,2015,
532953,2240244,10/05/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",59037,Desert Island Long Island Ice Tea Cocktail,1000,$3.86,$6.04,24,$144.96,24.0,2015,
533060,2240679,03/09/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,77852,Smirnoff Watermelon,750,$8.25,$12.38,5,$61.90,3.75,2015,
533439,2242241,07/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sidney Frank Importing Co.,65257,Jagermeister Liqueur,1000,$15.54,$23.31,60,$1398.60,60.0,2015,
533534,2242673,04/06/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",43137,Bacardi Limon,1000,$10.50,$15.75,12,$189.00,12.0,2015,
533772,2243572,04/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Wilson Daniels Ltd.,34122,Crystal Head Vodka,750,$26.00,$39.00,1,$39.00,0.75,2015,
534301,2245863,06/10/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",43366,Castillo Spiced Rum,750,$4.16,$6.24,12,$74.88,9.0,2015,
534507,2246730,07/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Gemini Spirits,66936,Grangala Triple Orange Liqueur,750,$11.02,$16.53,12,$198.36,9.0,2015,
534536,2246835,09/28/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Gemini Spirits,66936,Grangala Triple Orange Liqueur,750,$11.02,$16.53,24,$396.72,18.0,2015,
534572,2246999,06/01/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,750,$9.23,$14.22,12,$170.64,9.0,2015,
534724,2247591,02/25/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Heaven Hill Brands,52319,Christian Bros Brandy-Round,1000,$7.11,$10.67,12,$128.04,12.0,2015,
534815,2247975,04/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","WILDMAN AND SONS, F.",1224,Sheep Dip,750,$21.50,$32.25,2,$64.50,1.5,2015,
534986,2248634,11/02/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Sazerac North America,8827,Lauder's,1000,$6.14,$9.21,12,$110.52,12.0,2015,
535393,2250226,10/07/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Mississippi River Distilling Co.,37640,River Baron Artisian Spirit,750,$14.02,$21.03,12,$252.36,9.0,2015,
535742,2251759,01/28/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Four Roses Distillery,18350,Four Roses Single Barrel,750,$20.17,$30.26,1,$30.26,0.75,2015,
536137,2253384,05/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",43117,Bacardi O,1000,$9.50,$14.25,12,$171.00,12.0,2015,
536951,2256835,02/09/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,37417,Popov Vodka 80 Prf,1000,$5.50,$8.25,12,$99.00,12.0,2015,
537364,2258556,02/09/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Aveniu Brands,86746,Prichard's Sweet Lucy,750,$13.00,$19.50,2,$39.00,1.5,2015,
537410,2258718,09/14/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Campari(skyy),89139,Cabo Wabo Reposado,750,$20.76,$31.14,6,$186.84,4.5,2015,
537664,2259736,07/27/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Constellation Wine Company, Inc.",11586,Black Velvet Reserve,750,$7.00,$10.50,6,$63.00,4.5,2015,
538097,2261447,07/29/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Luxco-St Louis,89387,Juarez Tequila Gold,1000,$6.92,$10.38,48,$498.24,48.0,2015,
538171,2261756,06/26/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,22787,Beam's 8 Star Bl Whiskey,1000,$4.46,$6.69,24,$160.56,24.0,2015,
538298,2262277,07/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","WILLIAM GRANT AND SONS, INC.",4356,Balvenie 12yr Doublewood Single Malt Scotch,750,$33.60,$50.40,1,$50.40,0.75,2015,
538602,2263441,09/21/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Phillips Beverage Company,37347,Phillips Vodka,1000,$4.29,$6.44,60,$386.40,60.0,2015,
538686,2263838,03/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,82787,Dekuyper Buttershots,1000,$7.62,$11.43,12,$137.16,12.0,2015,
538778,2264205,06/22/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,43415,Captain Morgan Lime Bite,750,$9.00,$13.50,2,$27.00,1.5,2015,
538935,2264867,09/30/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,82637,Dekuyper Grape Pucker,1000,$7.62,$11.43,24,$274.32,24.0,2015,
539215,2266023,07/29/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,1000,$14.99,$22.49,48,$1079.52,48.0,2015,
539261,2266209,03/16/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,11297,Crown Royal Canadian Whisky,1000,$18.50,$27.75,60,$1665.00,60.0,2015,
539795,2268641,08/12/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Constellation Wine Company, Inc.",34820,Svedka Vodka,750,$8.25,$12.38,12,$148.56,9.0,2015,
540261,2270644,01/28/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",64867,Fireball Cinnamon Whiskey,1000,$11.34,$17.01,96,$1632.96,96.0,2015,
540314,2270881,05/04/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","WILLIAM GRANT AND SONS, INC.",4357,Balvenie 17YR Doublewood,750,$80.84,$121.26,1,$121.26,0.75,2015,
540430,2271300,06/08/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,15627,Jameson,1000,$18.49,$27.74,24,$665.76,24.0,2015,
540569,2271858,07/29/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Bacardi U.S.A., Inc.",43127,Bacardi Superior Rum,1000,$9.50,$14.25,48,$684.00,48.0,2015,
540923,2273377,07/20/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Jim Beam Brands,19477,Maker's Mark,1000,$22.04,$33.06,12,$396.72,12.0,2015,
540972,2273578,07/20/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,28087,Beefeater Gin,1000,$14.49,$21.74,12,$260.88,12.0,2015,
541083,2274039,01/26/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,34457,Ketel One Imported Vodka,1000,$17.50,$26.25,24,$630.00,24.0,2015,
541438,2275396,06/10/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Brown-Forman Corporation,26586,Gentleman Jack,750,$20.01,$30.02,1,$30.02,0.75,2015,
541943,2277508,06/10/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Brown-Forman Corporation,26827,Jack Daniels Old #7 Black Lbl,1000,$18.38,$27.57,240,$6616.80,240.0,2015,
542428,2279426,04/15/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,41077,Jeremiah Weed Sweet Tea,1000,$10.50,$15.75,24,$378.00,24.0,2015,
542553,2279926,09/16/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)","Sazerac Co., Inc.",69667,Dr. Mcgillicuddy's Vanilla,1000,$11.00,$16.50,12,$198.00,12.0,2015,
542778,2280794,06/08/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Diageo Americas,28867,Tanqueray Gin,1000,$15.25,$22.88,12,$274.56,12.0,2015,
542825,2280994,04/13/2015,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",Pernod Ricard USA/Austin Nichols,15627,Jameson,1000,$18.49,$27.74,36,$998.64,36.0,2015,
